timestamp,district,city_hub,discom_zone,panel_name,demand_mw,net_demand_mw,active_power_kw,reactive_power_mvar,renewable_mw,solar_mw,wind_mw,grid_frequency_hz,voltage_kv,power_factor,thd_pct,dsm_penalty_rate_inr
2026-09-08 08:15:00,Surat,Surat Industrial,DGVCL (South Gujarat),Surat,3397.78,3302.77,3397775.7,1117.29,95.0,52.18,42.82,50.003,396.8,0.95,5.39,0.0
2026-09-08 08:15:00,Vadodara,Vadodara City,MGVCL (Central Gujarat),Vadodara,1497.23,1375.82,1497230.8,153.59,121.41,52.18,69.23,50.003,397.5,0.995,3.52,0.0
2026-09-08 08:15:00,Rajkot,Rajkot City,PGVCL (Saurashtra & Kutch),Rajkot,1451.92,1301.72,1451923.2,394.84,150.2,52.18,98.02,50.003,401.8,0.965,5.0,0.0
2026-09-08 08:15:00,Anand & Kheda,Anand (CHARUSAT Zone),MGVCL (Central Gujarat),Anand & Kheda,959.4,790.14,959403.4,211.54,169.26,52.18,117.08,50.003,400.9,0.977,3.44,0.0
2026-09-08 08:15:00,Gandhinagar,GIFT City / Capital,UGVCL (North Gujarat),Gandhinagar,917.67,805.29,917666.4,127.66,112.38,52.18,60.2,50.003,397.8,0.99,2.54,0.0
2026-09-08 08:15:00,Kutch,Bhuj / Mundra,PGVCL (Saurashtra & Kutch),Kutch,1809.5,50.0,1809504.4,476.91,2017.58,664.1,1353.48,50.003,401.0,0.967,4.13,0.0
2026-09-08 08:15:00,Bharuch,Ankleshwar / Dahej,DGVCL (South Gujarat),Bharuch,1955.36,1809.56,1955359.9,646.08,145.8,52.18,93.62,50.003,397.5,0.95,5.96,0.0
2026-09-08 08:15:00,Jamnagar,Jamnagar City,PGVCL (Saurashtra & Kutch),Jamnagar,1835.28,1683.7,1835283.1,459.42,151.59,52.18,99.41,50.003,402.2,0.97,4.07,0.0
2026-09-08 08:15:00,Bhavnagar,Bhavnagar City,PGVCL (Saurashtra & Kutch),Bhavnagar,804.07,686.63,804073.8,149.12,117.44,52.18,65.27,50.003,402.8,0.983,4.91,0.0
2026-09-08 08:30:00,Ahmedabad,Ahmedabad Metro,UGVCL (North Gujarat),Ahmedabad,3094.27,2998.41,3094271.4,807.71,95.86,60.47,35.39,50.006,401.6,0.968,4.03,0.0
2026-09-08 08:30:00,Surat,Surat Industrial,DGVCL (South Gujarat),Surat,3469.96,3309.07,3469960.0,993.69,160.89,60.47,100.42,50.006,396.6,0.961,5.77,0.0
2026-09-08 08:30:00,Vadodara,Vadodara City,MGVCL (Central Gujarat),Vadodara,1559.8,1410.11,1559800.6,208.37,149.69,60.47,89.21,50.006,401.1,0.991,3.29,0.0
2026-09-08 08:30:00,Rajkot,Rajkot City,PGVCL (Saurashtra & Kutch),Rajkot,1484.92,1383.36,1484917.7,430.26,101.56,60.47,41.09,50.006,401.7,0.96,4.61,0.0
2026-09-08 08:30:00,Anand & Kheda,Anand (CHARUSAT Zone),MGVCL (Central Gujarat),Anand & Kheda,1018.3,825.93,1018303.8,166.26,192.38,60.47,131.9,50.006,397.2,0.987,3.32,0.0
2026-09-08 08:30:00,Gandhinagar,GIFT City / Capital,UGVCL (North Gujarat),Gandhinagar,931.32,803.04,931322.1,93.48,128.28,60.47,67.81,50.006,400.9,0.995,2.57,0.0
2026-09-08 08:30:00,Kutch,Bhuj / Mundra,PGVCL (Saurashtra & Kutch),Kutch,1796.08,50.0,1796076.4,462.47,2251.24,769.64,1481.61,50.006,397.9,0.968,4.54,0.0
2026-09-08 08:30:00,Bharuch,Ankleshwar / Dahej,DGVCL (South Gujarat),Bharuch,1929.21,1797.86,1929214.0,597.38,131.35,60.47,70.88,50.006,397.7,0.955,6.09,0.0
2026-09-08 08:30:00,Jamnagar,Jamnagar City,PGVCL (Saurashtra & Kutch),Jamnagar,1851.55,1718.26,1851549.2,423.38,133.29,60.47,72.82,50.006,403.2,0.975,4.51,0.0
2026-09-08 08:30:00,Bhavnagar,Bhavnagar City,PGVCL (Saurashtra & Kutch),Bhavnagar,828.94,703.73,828941.5,191.75,125.21,60.47,64.74,50.006,398.7,0.974,4.73,0.0
2026-09-08 08:45:00,Ahmedabad,Ahmedabad Metro,UGVCL (North Gujarat),Ahmedabad,3024.05,2906.04,3024045.4,655.38,118.01,69.52,48.48,50.014,400.8,0.977,3.85,0.0
2026-09-08 08:45:00,Surat,Surat Industrial,DGVCL (South Gujarat),Surat,3475.04,3304.34,3475035.3,1009.4,170.7,69.52,101.17,50.014,401.4,0.96,5.72,0.0
2026-09-08 08:45:00,Vadodara,Vadodara City,MGVCL (Central Gujarat),Vadodara,1605.91,1445.93,1605909.1,370.73,159.98,69.52,90.45,50.014,402.6,0.974,3.09,0.0
2026-09-08 08:45:00,Rajkot,Rajkot City,PGVCL (Saurashtra & Kutch),Rajkot,1498.26,1310.61,1498258.8,373.98,187.65,69.52,118.12,50.014,401.0,0.97,4.91,0.0
2026-09-08 08:45:00,Anand & Kheda,Anand (CHARUSAT Zone),MGVCL (Central Gujarat),Anand & Kheda,1009.1,874.03,1009100.9,171.22,135.07,69.52,65.54,50.014,399.1,0.986,3.49,0.0
2026-09-08 08:45:00,Gandhinagar,GIFT City / Capital,UGVCL (North Gujarat),Gandhinagar,990.63,847.29,990626.9,174.34,143.34,69.52,73.81,50.014,400.3,0.985,2.85,0.0
2026-09-08 08:45:00,Kutch,Bhuj / Mundra,PGVCL (Saurashtra & Kutch),Kutch,1799.08,50.0,1799080.2,522.47,2270.7,884.86,1385.84,50.014,397.4,0.96,4.31,0.0
2026-09-08 08:45:00,Bharuch,Ankleshwar / Dahej,DGVCL (South Gujarat),Bharuch,2043.53,1882.52,2043532.2,628.84,161.01,69.52,91.49,50.014,397.1,0.956,6.27,0.0
2026-09-08 08:45:00,Jamnagar,Jamnagar City,PGVCL (Saurashtra & Kutch),Jamnagar,1827.55,1618.71,1827548.7,473.08,208.84,69.52,139.32,50.014,401.6,0.968,4.31,0.0
2026-09-08 08:45:00,Bhavnagar,Bhavnagar City,PGVCL (Saurashtra & Kutch),Bhavnagar,860.45,684.48,860447.6,213.18,175.97,69.52,106.44,50.014,398.4,0.971,4.5,0.0
2026-09-08 09:00:00,Ahmedabad,Ahmedabad Metro,UGVCL (North Gujarat),Ahmedabad,3093.63,2913.36,3093632.1,659.4,180.27,79.3,100.97,49.997,399.4,0.978,3.77,0.0
2026-09-08 09:00:00,Surat,Surat Industrial,DGVCL (South Gujarat),Surat,3481.39,3375.46,3481389.2,989.43,105.93,79.3,26.63,49.997,401.5,0.962,5.3,0.0
2026-09-08 09:00:00,Vadodara,Vadodara City,MGVCL (Central Gujarat),Vadodara,1544.97,1359.7,1544969.5,187.28,185.27,79.3,105.97,49.997,399.4,0.993,3.78,0.0
2026-09-08 09:00:00,Rajkot,Rajkot City,PGVCL (Saurashtra & Kutch),Rajkot,1479.9,1269.44,1479897.6,410.74,210.46,79.3,131.16,49.997,397.2,0.964,4.52,0.0
2026-09-08 09:00:00,Anand & Kheda,Anand (CHARUSAT Zone),MGVCL (Central Gujarat),Anand & Kheda,949.26,832.39,949259.5,190.34,116.87,79.3,37.57,49.997,399.3,0.98,2.89,0.0
2026-09-08 09:00:00,Gandhinagar,GIFT City / Capital,UGVCL (North Gujarat),Gandhinagar,1022.43,882.11,1022433.6,151.29,140.33,79.3,61.03,49.997,400.9,0.989,3.2,0.0
2026-09-08 09:00:00,Kutch,Bhuj / Mundra,PGVCL (Saurashtra & Kutch),Kutch,1893.81,50.0,1893811.8,521.52,2423.12,1009.25,1413.86,49.997,397.0,0.964,4.1,0.0
2026-09-08 09:00:00,Bharuch,Ankleshwar / Dahej,DGVCL (South Gujarat),Bharuch,2009.08,1851.0,2009082.3,594.63,158.08,79.3,78.78,49.997,400.5,0.959,5.82,0.0
2026-09-08 09:00:00,Jamnagar,Jamnagar City,PGVCL (Saurashtra & Kutch),Jamnagar,1971.05,1875.32,1971052.4,347.66,95.74,79.3,16.44,49.997,403.1,0.985,3.93,0.0
2026-09-08 09:00:00,Bhavnagar,Bhavnagar City,PGVCL (Saurashtra & Kutch),Bhavnagar,868.79,708.26,868788.4,235.81,160.53,79.3,81.23,49.997,398.7,0.965,4.47,0.0
2026-09-08 09:15:00,Ahmedabad,Ahmedabad Metro,UGVCL (North Gujarat),Ahmedabad,3249.06,3057.34,3249055.1,802.25,191.72,89.73,101.99,49.998,401.6,0.971,3.91,0.0
2026-09-08 09:15:00,Surat,Surat Industrial,DGVCL (South Gujarat),Surat,3578.33,3397.05,3578329.2,968.63,181.28,89.73,91.55,49.998,402.1,0.965,5.21,0.0
2026-09-08 09:15:00,Vadodara,Vadodara City,MGVCL (Central Gujarat),Vadodara,1586.17,1383.11,1586169.6,316.2,203.06,89.73,113.33,49.998,398.9,0.981,3.49,0.0
2026-09-08 09:15:00,Rajkot,Rajkot City,PGVCL (Saurashtra & Kutch),Rajkot,1508.03,1355.54,1508030.7,425.86,152.49,89.73,62.76,49.998,402.8,0.962,5.37,0.0
2026-09-08 09:15:00,Anand & Kheda,Anand (CHARUSAT Zone),MGVCL (Central Gujarat),Anand & Kheda,1042.24,857.05,1042240.6,199.75,185.19,89.73,95.46,49.998,399.2,0.982,3.59,0.0
2026-09-08 09:15:00,Gandhinagar,GIFT City / Capital,UGVCL (North Gujarat),Gandhinagar,999.24,777.14,999240.0,166.99,222.1,89.73,132.37,49.998,399.6,0.986,2.72,0.0
2026-09-08 09:15:00,Kutch,Bhuj / Mundra,PGVCL (Saurashtra & Kutch),Kutch,1918.56,50.0,1918563.7,539.11,2576.74,1141.99,1434.74,49.998,402.0,0.963,3.8,0.0
2026-09-08 09:15:00,Bharuch,Ankleshwar / Dahej,DGVCL (South Gujarat),Bharuch,2079.11,1974.39,2079114.2,646.14,104.73,89.73,15.0,49.998,402.7,0.955,5.59,0.0
2026-09-08 09:15:00,Jamnagar,Jamnagar City,PGVCL (Saurashtra & Kutch),Jamnagar,2002.5,1825.38,2002500.1,501.25,177.12,89.73,87.39,49.998,400.8,0.97,4.05,0.0
2026-09-08 09:15:00,Bhavnagar,Bhavnagar City,PGVCL (Saurashtra & Kutch),Bhavnagar,862.8,681.3,862798.1,219.15,181.5,89.73,91.77,49.998,397.1,0.969,4.37,0.0
2026-09-08 09:30:00,Ahmedabad,Ahmedabad Metro,UGVCL (North Gujarat),Ahmedabad,3131.17,2961.85,3131171.4,775.26,169.32,100.72,68.6,50.027,401.9,0.971,3.38,0.0
2026-09-08 09:30:00,Surat,Surat Industrial,DGVCL (South Gujarat),Surat,3446.75,3271.17,3446753.5,1029.31,175.59,100.72,74.86,50.027,399.8,0.958,5.87,0.0
2026-09-08 09:30:00,Vadodara,Vadodara City,MGVCL (Central Gujarat),Vadodara,1645.59,1423.88,1645586.2,306.29,221.71,100.72,120.98,50.027,403.2,0.983,3.25,0.0
2026-09-08 09:30:00,Rajkot,Rajkot City,PGVCL (Saurashtra & Kutch),Rajkot,1505.33,1315.88,1505331.1,421.63,189.45,100.72,88.73,50.027,403.2,0.963,4.65,0.0
2026-09-08 09:30:00,Anand & Kheda,Anand (CHARUSAT Zone),MGVCL (Central Gujarat),Anand & Kheda,1056.43,903.9,1056430.2,199.77,152.53,100.72,51.81,50.027,403.3,0.983,3.2,0.0
2026-09-08 09:30:00,Gandhinagar,GIFT City / Capital,UGVCL (North Gujarat),Gandhinagar,1071.37,839.85,1071374.9,171.64,231.52,100.72,130.8,50.027,400.9,0.987,2.92,0.0
2026-09-08 09:30:00,Kutch,Bhuj / Mundra,PGVCL (Saurashtra & Kutch),Kutch,1941.27,50.0,1941273.4,361.07,2657.68,1281.93,1375.75,50.027,398.4,0.983,4.16,0.0
2026-09-08 09:30:00,Bharuch,Ankleshwar / Dahej,DGVCL (South Gujarat),Bharuch,2063.24,1941.82,2063238.3,592.16,121.42,100.72,20.7,50.027,397.0,0.961,5.39,0.0
2026-09-08 09:30:00,Jamnagar,Jamnagar City,PGVCL (Saurashtra & Kutch),Jamnagar,1966.84,1808.42,1966838.1,422.44,158.42,100.72,57.69,50.027,401.3,0.978,4.86,0.0
2026-09-08 09:30:00,Bhavnagar,Bhavnagar City,PGVCL (Saurashtra & Kutch),Bhavnagar,900.88,729.13,900882.0,216.97,171.75,100.72,71.03,50.027,402.6,0.972,4.94,0.0
2026-09-08 09:45:00,Ahmedabad,Ahmedabad Metro,UGVCL (North Gujarat),Ahmedabad,3244.94,3061.21,3244941.6,603.84,183.73,112.17,71.56,50.034,399.4,0.983,3.29,0.0
2026-09-08 09:45:00,Surat,Surat Industrial,DGVCL (South Gujarat),Surat,3753.35,3558.4,3753345.3,1099.56,194.95,112.17,82.78,50.034,403.5,0.96,5.37,0.0
2026-09-08 09:45:00,Vadodara,Vadodara City,MGVCL (Central Gujarat),Vadodara,1669.38,1495.72,1669381.8,336.51,173.67,112.17,61.5,50.034,399.7,0.98,3.5,0.0
2026-09-08 09:45:00,Rajkot,Rajkot City,PGVCL (Saurashtra & Kutch),Rajkot,1598.95,1379.97,1598949.9,413.07,218.98,112.17,106.81,50.034,399.0,0.968,4.49,0.0
2026-09-08 09:45:00,Anand & Kheda,Anand (CHARUSAT Zone),MGVCL (Central Gujarat),Anand & Kheda,1101.91,868.2,1101905.2,237.73,233.7,112.17,121.53,50.034,400.1,0.978,3.3,0.0
2026-09-08 09:45:00,Gandhinagar,GIFT City / Capital,UGVCL (North Gujarat),Gandhinagar,1043.57,825.61,1043571.6,104.75,217.97,112.17,105.8,50.034,399.3,0.995,2.85,0.0
2026-09-08 09:45:00,Kutch,Bhuj / Mundra,PGVCL (Saurashtra & Kutch),Kutch,1945.07,50.0,1945073.8,412.81,2798.65,1427.59,1371.05,50.034,397.5,0.978,4.29,0.0
2026-09-08 09:45:00,Bharuch,Ankleshwar / Dahej,DGVCL (South Gujarat),Bharuch,2129.49,1915.74,2129487.2,590.25,213.75,112.17,101.58,50.034,398.9,0.964,5.28,0.0
2026-09-08 09:45:00,Jamnagar,Jamnagar City,PGVCL (Saurashtra & Kutch),Jamnagar,1972.88,1736.85,1972881.4,472.98,236.03,112.17,123.86,50.034,402.5,0.972,4.75,0.0
2026-09-08 09:45:00,Bhavnagar,Bhavnagar City,PGVCL (Saurashtra & Kutch),Bhavnagar,875.42,696.69,875421.3,208.54,178.73,112.17,66.56,50.034,403.4,0.973,4.5,0.0
2026-09-08 10:00:00,Ahmedabad,Ahmedabad Metro,UGVCL (North Gujarat),Ahmedabad,3180.36,2961.35,3180356.7,835.62,219.01,123.92,95.09,49.977,397.0,0.967,3.77,0.0
2026-09-08 10:00:00,Surat,Surat Industrial,DGVCL (South Gujarat),Surat,3627.24,3437.04,3627243.6,993.38,190.2,123.92,66.28,49.977,399.8,0.964,5.55,0.0
2026-09-08 10:00:00,Vadodara,Vadodara City,MGVCL (Central Gujarat),Vadodara,1649.92,1474.78,1649916.7,361.58,175.14,123.92,51.21,49.977,397.7,0.977,3.65,0.0
2026-09-08 10:00:00,Rajkot,Rajkot City,PGVCL (Saurashtra & Kutch),Rajkot,1559.69,1420.77,1559687.4,421.66,138.92,123.92,15.0,49.977,401.3,0.965,4.84,0.0
2026-09-08 10:00:00,Anand & Kheda,Anand (CHARUSAT Zone),MGVCL (Central Gujarat),Anand & Kheda,1068.03,875.74,1068033.4,209.35,192.29,123.92,68.37,49.977,402.1,0.981,3.26,0.0
2026-09-08 10:00:00,Gandhinagar,GIFT City / Capital,UGVCL (North Gujarat),Gandhinagar,1044.38,882.3,1044382.3,171.95,162.08,123.92,38.16,49.977,399.9,0.987,2.97,0.0
2026-09-08 10:00:00,Kutch,Bhuj / Mundra,PGVCL (Saurashtra & Kutch),Kutch,1911.32,50.0,1911322.4,389.41,2969.71,1577.18,1392.53,49.977,396.8,0.98,4.51,0.0
2026-09-08 10:00:00,Bharuch,Ankleshwar / Dahej,DGVCL (South Gujarat),Bharuch,2166.49,1938.51,2166486.6,671.5,227.98,123.92,104.06,49.977,400.2,0.955,5.5,0.0
2026-09-08 10:00:00,Jamnagar,Jamnagar City,PGVCL (Saurashtra & Kutch),Jamnagar,2000.86,1795.83,2000858.8,565.05,205.03,123.92,81.1,49.977,398.4,0.962,4.01,0.0
2026-09-08 10:00:00,Bhavnagar,Bhavnagar City,PGVCL (Saurashtra & Kutch),Bhavnagar,912.77,733.48,912770.1,260.4,179.29,123.92,55.37,49.977,398.8,0.962,4.49,0.0
2026-09-08 10:15:00,Ahmedabad,Ahmedabad Metro,UGVCL (North Gujarat),Ahmedabad,3435.83,3222.69,3435831.1,624.5,213.14,135.82,77.32,50.044,400.6,0.984,3.8,0.0
2026-09-08 10:15:00,Surat,Surat Industrial,DGVCL (South Gujarat),Surat,3703.05,3503.88,3703052.8,936.26,199.18,135.82,63.36,50.044,399.0,0.969,5.27,0.0
2026-09-08 10:15:00,Vadodara,Vadodara City,MGVCL (Central Gujarat),Vadodara,1687.59,1518.72,1687585.6,222.02,168.86,135.82,33.04,50.044,397.2,0.991,3.78,0.0
2026-09-08 10:15:00,Rajkot,Rajkot City,PGVCL (Saurashtra & Kutch),Rajkot,1653.2,1453.84,1653197.7,474.16,199.36,135.82,63.54,50.044,398.5,0.961,4.76,0.0
2026-09-08 10:15:00,Anand & Kheda,Anand (CHARUSAT Zone),MGVCL (Central Gujarat),Anand & Kheda,1091.64,872.71,1091638.0,238.18,218.93,135.82,83.11,50.044,397.3,0.977,3.21,0.0
2026-09-08 10:15:00,Gandhinagar,GIFT City / Capital,UGVCL (North Gujarat),Gandhinagar,1078.58,860.64,1078578.9,157.62,217.94,135.82,82.12,50.044,398.3,0.989,2.92,0.0
2026-09-08 10:15:00,Kutch,Bhuj / Mundra,PGVCL (Saurashtra & Kutch),Kutch,2017.61,50.0,2017608.8,555.42,3131.59,1728.61,1402.98,50.044,400.5,0.964,4.25,0.0
2026-09-08 10:15:00,Bharuch,Ankleshwar / Dahej,DGVCL (South Gujarat),Bharuch,2192.64,1998.75,2192635.1,717.34,193.88,135.82,58.06,50.044,399.5,0.95,6.08,0.0
2026-09-08 10:15:00,Jamnagar,Jamnagar City,PGVCL (Saurashtra & Kutch),Jamnagar,1992.31,1773.7,1992314.2,479.05,218.61,135.82,82.79,50.044,398.5,0.972,3.81,0.0
2026-09-08 10:15:00,Bhavnagar,Bhavnagar City,PGVCL (Saurashtra & Kutch),Bhavnagar,914.85,620.51,914847.5,230.85,294.33,135.82,158.51,50.044,396.9,0.97,4.16,0.0
2026-09-08 10:30:00,Ahmedabad,Ahmedabad Metro,UGVCL (North Gujarat),Ahmedabad,3364.31,3158.94,3364311.2,664.66,205.37,147.68,57.69,49.978,398.3,0.981,3.68,0.0
2026-09-08 10:30:00,Surat,Surat Industrial,DGVCL (South Gujarat),Surat,3914.37,3618.68,3914370.7,1206.16,295.69,147.68,148.02,49.978,399.4,0.956,5.63,0.0
2026-09-08 10:30:00,Vadodara,Vadodara City,MGVCL (Central Gujarat),Vadodara,1758.49,1553.93,1758490.1,336.04,204.56,147.68,56.88,49.978,403.1,0.982,3.44,0.0
2026-09-08 10:30:00,Rajkot,Rajkot City,PGVCL (Saurashtra & Kutch),Rajkot,1680.18,1454.09,1680176.5,461.53,226.09,147.68,78.41,49.978,402.1,0.964,5.37,0.0
2026-09-08 10:30:00,Anand & Kheda,Anand (CHARUSAT Zone),MGVCL (Central Gujarat),Anand & Kheda,1107.62,897.57,1107617.9,198.18,210.05,147.68,62.37,49.978,401.2,0.984,3.07,0.0
2026-09-08 10:30:00,Gandhinagar,GIFT City / Capital,UGVCL (North Gujarat),Gandhinagar,1052.89,801.79,1052893.8,161.93,251.11,147.68,103.43,49.978,402.2,0.988,2.91,0.0
2026-09-08 10:30:00,Kutch,Bhuj / Mundra,PGVCL (Saurashtra & Kutch),Kutch,1960.86,50.0,1960857.6,581.17,3268.99,1879.53,1389.45,49.978,401.7,0.959,3.8,0.0
2026-09-08 10:30:00,Bharuch,Ankleshwar / Dahej,DGVCL (South Gujarat),Bharuch,2119.23,1871.86,2119226.3,669.37,247.37,147.68,99.69,49.978,400.3,0.954,5.8,0.0
2026-09-08 10:30:00,Jamnagar,Jamnagar City,PGVCL (Saurashtra & Kutch),Jamnagar,2074.33,1817.34,2074328.7,579.45,256.99,147.68,109.31,49.978,397.5,0.963,4.53,0.0
2026-09-08 10:30:00,Bhavnagar,Bhavnagar City,PGVCL (Saurashtra & Kutch),Bhavnagar,957.32,732.18,957321.9,223.58,225.14,147.68,77.46,49.978,402.0,0.974,4.87,0.0
2026-09-08 10:45:00,Ahmedabad,Ahmedabad Metro,UGVCL (North Gujarat),Ahmedabad,3416.45,3180.0,3416446.1,858.28,236.44,159.3,77.15,50.001,401.8,0.97,4.05,0.0
2026-09-08 10:45:00,Surat,Surat Industrial,DGVCL (South Gujarat),Surat,3851.57,3578.67,3851572.6,1047.11,272.91,159.3,113.61,50.001,397.5,0.965,5.3,0.0
2026-09-08 10:45:00,Vadodara,Vadodara City,MGVCL (Central Gujarat),Vadodara,1750.57,1490.19,1750569.3,403.36,260.38,159.3,101.09,50.001,401.4,0.974,3.73,0.0
2026-09-08 10:45:00,Rajkot,Rajkot City,PGVCL (Saurashtra & Kutch),Rajkot,1738.35,1535.81,1738353.8,460.29,202.54,159.3,43.25,50.001,402.9,0.967,4.41,0.0
2026-09-08 10:45:00,Anand & Kheda,Anand (CHARUSAT Zone),MGVCL (Central Gujarat),Anand & Kheda,1125.04,871.11,1125036.8,152.17,253.93,159.3,94.63,50.001,397.6,0.991,2.67,0.0
2026-09-08 10:45:00,Gandhinagar,GIFT City / Capital,UGVCL (North Gujarat),Gandhinagar,1119.19,890.98,1119192.9,112.34,228.21,159.3,68.91,50.001,402.6,0.995,2.85,0.0
2026-09-08 10:45:00,Kutch,Bhuj / Mundra,PGVCL (Saurashtra & Kutch),Kutch,2080.66,50.0,2080664.1,480.51,3441.83,2027.4,1414.43,50.001,401.5,0.974,4.13,0.0
2026-09-08 10:45:00,Bharuch,Ankleshwar / Dahej,DGVCL (South Gujarat),Bharuch,2232.53,2038.48,2232534.3,748.26,194.05,159.3,34.76,50.001,401.7,0.948,5.88,0.0
2026-09-08 10:45:00,Jamnagar,Jamnagar City,PGVCL (Saurashtra & Kutch),Jamnagar,2174.49,1938.52,2174485.7,533.03,235.97,159.3,76.67,50.001,400.6,0.971,4.0,0.0
2026-09-08 10:45:00,Bhavnagar,Bhavnagar City,PGVCL (Saurashtra & Kutch),Bhavnagar,984.56,718.14,984562.2,258.58,266.43,159.3,107.13,50.001,396.5,0.967,4.32,0.0
2026-09-08 11:00:00,Ahmedabad,Ahmedabad Metro,UGVCL (North Gujarat),Ahmedabad,3456.99,3209.33,3456989.5,703.07,247.66,170.46,77.2,49.998,398.9,0.98,3.3,0.0
2026-09-08 11:00:00,Surat,Surat Industrial,DGVCL (South Gujarat),Surat,4047.58,3809.94,4047577.7,1316.2,237.64,170.46,67.18,49.998,399.7,0.951,5.15,0.0
2026-09-08 11:00:00,Vadodara,Vadodara City,MGVCL (Central Gujarat),Vadodara,1785.64,1541.81,1785643.9,493.85,243.84,170.46,73.37,49.998,402.9,0.964,3.42,0.0
